codigo,region,fecha,positivos_acumulados,positivos_nuevos,en_uci,nuevos_pcrs_informados_lab,muertes_acumuladas,muertes_nuevas
8,Biobío,03/19/2020,14,7,,,,
9,Araucanía,03/19/2020,7,3,,,,
14,Los Ríos,03/19/2020,1,0,,,,
10,Los Lagos,03/19/2020,16,8,,,,
11,Aysén,03/19/2020,1,0,,,,
12,Magallanes,03/19/2020,2,0,,,,
15,Arica y Parinacota,03/20/2020,1,0,,,,
1,Tarapacá,03/20/2020,0,0,,,,
2,Antofagasta,03/20/2020,6,4,,,,
3,Atacama,03/20/2020,1,0,,,,
4,Coquimbo,03/20/2020,3,1,,,,
5,Valparaíso,03/20/2020,5,1,,,,
13,Metropolitana,03/20/2020,304,57,,,,
6,O’Higgins,03/20/2020,6,4,,,,
7,Maule,03/20/2020,14,0,,,,
16,Ñuble,03/20/2020,44,16,,,,
8,Biobío,03/20/2020,19,5,,,,
9,Araucanía,03/20/2020,9,2,,,,
14,Los Ríos,03/20/2020,1,0,,,,
10,Los Lagos,03/20/2020,18,2,,,,
11,Aysén,03/20/2020,1,0,,,,
12,Magallanes,03/20/2020,2,0,,,,
15,Arica y Parinacota,03/21/2020,1,0,,,,
1,Tarapacá,03/21/2020,0,0,,,,
2,Antofagasta,03/21/2020,10,4,,,,
3,Atacama,03/21/2020,1,0,,,,
4,Coquimbo,03/21/2020,3,0,,,,
5,Valparaíso,03/21/2020,13,8,,,,
13,Metropolitana,03/21/2020,359,55,,,,
6,O’Higgins,03/21/2020,7,1,,,,
7,Maule,03/21/2020,15,1,,,,
16,Ñuble,03/21/2020,58,14,,,,
8,Biobío,03/21/2020,30,11,,,,
9,Araucanía,03/21/2020,15,6,,,,
14,Los Ríos,03/21/2020,1,0,,,,
10,Los Lagos,03/21/2020,20,2,,,,
11,Aysén,03/21/2020,1,0,,,,
12,Magallanes,03/21/2020,3,1,,,,
15,Arica y Parinacota,03/22/2020,2,1,,,,
1,Tarapacá,03/22/2020,0,0,,,,
2,Antofagasta,03/22/2020,11,1,,,,
3,Atacama,03/22/2020,1,0,,,,
4,Coquimbo,03/22/2020,5,2,,,,
5,Valparaíso,03/22/2020,16,3,,,,
13,Metropolitana,03/22/2020,409,50,,,,
6,O’Higgins,03/22/2020,8,1,,,,
7,Maule,03/22/2020,25,10,,,,
16,Ñuble,03/22/2020,64,6,,,,
8,Biobío,03/22/2020,35,5,,,,
9,Araucanía,03/22/2020,27,12,,,,
14,Los Ríos,03/22/2020,1,0,,,,
10,Los Lagos,03/22/2020,23,3,,,,
11,Aysén,03/22/2020,1,0,,,,
12,Magallanes,03/22/2020,4,1,,,,
15,Arica y Parinacota,03/23/2020,2,0,,,,
1,Tarapacá,03/23/2020,1,1,,,,
2,Antofagasta,03/23/2020,11,0,,,,
3,Atacama,03/23/2020,1,0,,,,
4,Coquimbo,03/23/2020,6,1,,,,
5,Valparaíso,03/23/2020,19,3,,,,
13,Metropolitana,03/23/2020,459,50,,,,
6,O’Higgins,03/23/2020,8,0,,,,
7,Maule,03/23/2020,28,3,,,,
16,Ñuble,03/23/2020,81,17,,,,
8,Biobío,03/23/2020,46,11,,,,
9,Araucanía,03/23/2020,40,13,,,,
14,Los Ríos,03/23/2020,4,3,,,,
10,Los Lagos,03/23/2020,33,10,,,,
11,Aysén,03/23/2020,1,0,,,,
12,Magallanes,03/23/2020,6,2,,,,
15,Arica y Parinacota,03/24/2020,2,0,,,,
1,Tarapacá,03/24/2020,4,3,,,,
2,Antofagasta,03/24/2020,13,2,,,,
3,Atacama,03/24/2020,1,0,,,,
4,Coquimbo,03/24/2020,11,5,,,,
5,Valparaíso,03/24/2020,25,6,,,,
13,Metropolitana,03/24/2020,540,81,,,,
6,O’Higgins,03/24/2020,9,1,,,,
7,Maule,03/24/2020,29,1,,,,
16,Ñuble,03/24/2020,105,24,,,,
8,Biobío,03/24/2020,73,27,,,,
9,Araucanía,03/24/2020,59,19,,,,
14,Los Ríos,03/24/2020,6,2,,,,
10,Los Lagos,03/24/2020,36,3,,,,
11,Aysén,03/24/2020,1,0,,,,
12,Magallanes,03/24/2020,8,2,,,,
15,Arica y Parinacota,03/25/2020,2,0,,,,
1,Tarapacá,03/25/2020,4,0,,,,
2,Antofagasta,03/25/2020,19,6,,,,
3,Atacama,03/25/2020,1,0,,,,
4,Coquimbo,03/25/2020,12,1,,,,
5,Valparaíso,03/25/2020,32,7,,,,
13,Metropolitana,03/25/2020,682,142,,,,
6,O’Higgins,03/25/2020,11,2,,,,
7,Maule,03/25/2020,30,1,,,,
16,Ñuble,03/25/2020,111,6,,,,
8,Biobío,03/25/2020,95,22,,,,
9,Araucanía,03/25/2020,74,15,,,,
14,Los Ríos,03/25/2020,11,5,,,,
10,Los Lagos,03/25/2020,44,8,,,,
11,Aysén,03/25/2020,1,0,,,,
12,Magallanes,03/25/2020,13,5,,,,
15,Arica y Parinacota,03/26/2020,3,1,,,,
1,Tarapacá,03/26/2020,5,1,,,,
2,Antofagasta,03/26/2020,20,1,,,,
