edad,sexo,region,confirmados
60 a 64,Mujer,Biobío,117
65 a 69,Mujer,Biobío,129
70 a 74,Mujer,Biobío,187
75 a 79,Mujer,Biobío,238
80 a 84,Mujer,Biobío,220
85 a 89,Mujer,Biobío,212
90 a 99,Mujer,Biobío,206
100 +,Mujer,Biobío,11
< 1,Hombre,La Araucanía,0
1 a 4,Hombre,La Araucanía,0
5 a 9,Hombre,La Araucanía,0
10 a 14,Hombre,La Araucanía,2
15 a 19,Hombre,La Araucanía,1
20 a 24,Hombre,La Araucanía,2
25 a 29,Hombre,La Araucanía,14
30 a 34,Hombre,La Araucanía,14
35 a 39,Hombre,La Araucanía,23
40 a 44,Hombre,La Araucanía,32
45 a 49,Hombre,La Araucanía,56
50 a 54,Hombre,La Araucanía,98
55 a 59,Hombre,La Araucanía,131
60 a 64,Hombre,La Araucanía,189
65 a 69,Hombre,La Araucanía,246
70 a 74,Hombre,La Araucanía,268
75 a 79,Hombre,La Araucanía,312
80 a 84,Hombre,La Araucanía,267
85 a 89,Hombre,La Araucanía,221
90 a 99,Hombre,La Araucanía,105
100 +,Hombre,La Araucanía,4
< 1,Mujer,La Araucanía,2
1 a 4,Mujer,La Araucanía,2
5 a 9,Mujer,La Araucanía,0
10 a 14,Mujer,La Araucanía,0
15 a 19,Mujer,La Araucanía,0
20 a 24,Mujer,La Araucanía,2
25 a 29,Mujer,La Araucanía,6
30 a 34,Mujer,La Araucanía,16
35 a 39,Mujer,La Araucanía,6
40 a 44,Mujer,La Araucanía,12
45 a 49,Mujer,La Araucanía,21
50 a 54,Mujer,La Araucanía,34
55 a 59,Mujer,La Araucanía,73
60 a 64,Mujer,La Araucanía,117
65 a 69,Mujer,La Araucanía,129
70 a 74,Mujer,La Araucanía,187
75 a 79,Mujer,La Araucanía,238
80 a 84,Mujer,La Araucanía,220
85 a 89,Mujer,La Araucanía,212
90 a 99,Mujer,La Araucanía,206
100 +,Mujer,La Araucanía,11
< 1,Hombre,Los Ríos,0
1 a 4,Hombre,Los Ríos,0
5 a 9,Hombre,Los Ríos,0
10 a 14,Hombre,Los Ríos,2
15 a 19,Hombre,Los Ríos,1
20 a 24,Hombre,Los Ríos,2
25 a 29,Hombre,Los Ríos,14
30 a 34,Hombre,Los Ríos,14
35 a 39,Hombre,Los Ríos,23
40 a 44,Hombre,Los Ríos,32
45 a 49,Hombre,Los Ríos,56
50 a 54,Hombre,Los Ríos,98
55 a 59,Hombre,Los Ríos,131
60 a 64,Hombre,Los Ríos,189
65 a 69,Hombre,Los Ríos,246
70 a 74,Hombre,Los Ríos,268
75 a 79,Hombre,Los Ríos,312
80 a 84,Hombre,Los Ríos,267
85 a 89,Hombre,Los Ríos,221
90 a 99,Hombre,Los Ríos,105
100 +,Hombre,Los Ríos,4
< 1,Mujer,Los Ríos,2
1 a 4,Mujer,Los Ríos,2
5 a 9,Mujer,Los Ríos,0
10 a 14,Mujer,Los Ríos,0
15 a 19,Mujer,Los Ríos,0
20 a 24,Mujer,Los Ríos,2
25 a 29,Mujer,Los Ríos,6
30 a 34,Mujer,Los Ríos,16
35 a 39,Mujer,Los Ríos,6
40 a 44,Mujer,Los Ríos,12
45 a 49,Mujer,Los Ríos,21
50 a 54,Mujer,Los Ríos,34
55 a 59,Mujer,Los Ríos,73
60 a 64,Mujer,Los Ríos,117
65 a 69,Mujer,Los Ríos,129
70 a 74,Mujer,Los Ríos,187
75 a 79,Mujer,Los Ríos,238
80 a 84,Mujer,Los Ríos,220
85 a 89,Mujer,Los Ríos,212
90 a 99,Mujer,Los Ríos,206
100 +,Mujer,Los Ríos,11
< 1,Hombre,Los Lagos,0
1 a 4,Hombre,Los Lagos,0
5 a 9,Hombre,Los Lagos,0
10 a 14,Hombre,Los Lagos,2
15 a 19,Hombre,Los Lagos,1
20 a 24,Hombre,Los Lagos,2
25 a 29,Hombre,Los Lagos,14
30 a 34,Hombre,Los Lagos,14
35 a 39,Hombre,Los Lagos,23
40 a 44,Hombre,Los Lagos,32
45 a 49,Hombre,Los Lagos,56
50 a 54,Hombre,Los Lagos,98
55 a 59,Hombre,Los Lagos,131
60 a 64,Hombre,Los Lagos,189
65 a 69,Hombre,Los Lagos,246
70 a 74,Hombre,Los Lagos,268
75 a 79,Hombre,Los Lagos,312
80 a 84,Hombre,Los Lagos,267
85 a 89,Hombre,Los Lagos,221
90 a 99,Hombre,Los Lagos,105
100 +,Hombre,Los Lagos,4
< 1,Mujer,Los Lagos,2
1 a 4,Mujer,Los Lagos,2
5 a 9,Mujer,Los Lagos,0
